,Rank,Mark,Player Name,DOB,Nat,Pos,Venue,Date
18800,1081,11.17,Raymondre SAMSON,21 SEP 2005,RSA,5h1,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",23 MAR 2023
18801,1081,11.17,Johann DE GOEDE,09 JUN 2005,RSA,6h5,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",23 MAR 2023
18802,1081,11.17,Michael GRAHAM,,JAM,7,"National Stadium, Kingston (JAM)",29 MAR 2023
18803,1081,11.17,Yuki TAKIZAWA,19 JUN 2005,JPN,7f3,"National Stadium, Tokyo (JPN)",02 APR 2023
18804,1081,11.17,Eyal UZIEL,29 APR 2005,ISR,2ce,"Hadar Yosef Stadium, Tel Aviv (ISR)",09 APR 2023
18805,1081,11.17,Fujita YUMA,14 MAY 2005,JPN,1f4,"Hakatanomori Athletic Stadium, Fukuoka (JPN)",16 APR 2023
18806,1081,11.17,Jiashuai LIAO,16 APR 2004,CHN,9h2,Zhaoqing (CHN),21 APR 2023
18807,1081,11.17,Martín Andres VILLEGAS,13 NOV 2005,CHI,3,"Pista Atlética Estadio Municipal, San Fernando (CHI)",22 APR 2023
18808,1081,11.17,Robin KHICHI,11 JUN 2004,IND,4h1,"District Sports Complex Collectorate, Tiruvannamalai (IND)",28 APR 2023
18809,1081,11.17,Leandro CARDAKU,17 NOV 2004,ALB,1f3,"Stadion Topolica, Bar (MNE)",01 MAY 2023
18810,1081,11.17,Yunosuke MIZUKI,11 AUG 2005,JPN,2h9,"Athletics Stadium, Toyama (JPN)",03 MAY 2023
18811,1081,11.17,Riku AZUMA,27 MAY 2006,JPN,6h1,"Hakatanomori Athletic Stadium, Fukuoka (JPN)",03 MAY 2023
18812,1081,11.17,Tommaso CARFAGNA,2007,ITA,1f3,"Stadio Paolo Rosi, Roma (ITA)",06 MAY 2023
18813,1081,11.17,Paweł WRÓBEL,21 JUN 2005,POL,2h3,"Golęcin Stadion, Poznan (POL)",06 MAY 2023
18814,,,,,,,,
18815,1081,11.17,Junjie YANG,29 JAN 2004,CHN,4h4,"Hebei Olympic Sports Center, Qinhuangdao (CHN)",09 MAY 2023
18816,1081,11.17,Victor VALLEJO,02 SEP 2005,ESP,4f2,Calvia (ESP),09 MAY 2023
18817,1081,11.17,Antoine SOUMARE,2006,FRA,1,"Stade Jules Ladoumègue, Romorantin (FRA)",12 MAY 2023
18818,1081,11.17,Fabio BORCHARDT,2004,GER,1f3,"Erika-Fisch-Stadion, Hannover (GER)",13 MAY 2023
18819,1105,11.18,Olwethu MOKOENA,12 FEB 2004,RSA,2f2,"Pilditch Stadium, Pretoria (RSA)",14 JAN 2023
18820,1105,11.18,Endurance MAHLANGU,23 JUN 2005,RSA,2f6,"Bestmed Tuks Stadium, Pretoria (RSA)",01 FEB 2023
18821,1105,11.18,Mofenyi MAROLE,2005,BOT,3f1,"Francistown Stadion, Francistown (BOT)",04 FEB 2023
18822,1105,11.18,Ruvani GREEN,29 APR 2004,JAM,3f10,"National Stadium, Kingston (JAM)",11 FEB 2023
18823,1105,11.18,Connor MCDONALD,2005,AUS,2f3,"Tom Kelly Athletics Track, Doncaster, Melbourne (AUS)",14 FEB 2023
18824,1105,11.18,Gabriel DOOLAN,10 JUN 2005,AUS,6f2,"WA Sports Centre, Perth (AUS)",17 FEB 2023
18825,1105,11.18,Xavier PERRY,09 JAN 2008,AUS,1h3,"SOPAC, Sydney (AUS)",25 FEB 2023
18826,1105,11.18,Paballo LEGODI,16 JUL 2004,RSA,1f2,"Pilditch Stadium, Pretoria (RSA)",04 MAR 2023
18827,1105,11.18,Brendan VAN DER MERWE,28 APR 2007,RSA,4sf1,"Pilditch Stadium, Pretoria (RSA)",11 MAR 2023
18828,1105,11.18,Jean Augusto SILVA,24 MAR 2007,BRA,3h11,"COTP Stadium, São Paulo (BRA)",11 MAR 2023
18829,1105,11.18,Elad ADIKA,07 NOV 2004,ISR,3f1,"Hadar Yosef Stadium, Tel Aviv (ISR)",15 MAR 2023
18830,1105,11.18,Towa KURIYAMA,17 MAR 2004,JPN,2f24,"National Stadium, Tokyo (JPN)",18 MAR 2023
18831,1105,11.18,Iyimi FAGBAMIYE,2006,CAN,1f3,"Rashpal Dhillon  Oval, Vancouver (CAN)",25 MAR 2023
18832,1105,11.18,Jemar ALLEN,2004,JAM,4h2,"National Stadium, Kingston (JAM)",28 MAR 2023
18833,1105,11.18,Raheem COLLINS,,JAM,6sf1,"National Stadium, Kingston (JAM)",29 MAR 2023
18834,1105,11.18,Soma CHIBA,09 OCT 2005,JPN,2f6,"National Stadium, Tokyo (JPN)",02 APR 2023
18835,1105,11.18,Ryoya TAKAHASHI,09 AUG 2006,JPN,3f6,"National Stadium, Tokyo (JPN)",02 APR 2023
18836,1105,11.18,Jianyu CHEN,09 DEC 2005,CHN,7h2,"Sichuan Xipu Training Base, Chengdu (CHN)",07 APR 2023
18837,1105,11.18,Christos ECONOMIDES,27 APR 2005,CYP,2f5,"Lanitio Stadium, Limassol (CYP)",08 APR 2023
18838,1105,11.18,Valentino BARRANCO,26 FEB 2007,ARG,1,"Pista de Atletismo Justo Román, Mar del Plata (ARG)",15 APR 2023
18839,1105,11.18,Riley LEYVA,,USA,6f2,"Hilmer Lodge Stadium, Walnut, CA (USA)",15 APR 2023
18840,1105,11.18,Samuel LIBELLE,2005,FRA,2f2,"Stade Marc Nasseau, St-Denis-Réunion (FRA)",22 APR 2023
18841,1105,11.18,Liam BAZIN,02 NOV 2005,BEL,3f1,"Stade Gaston Reiff, Braine-l'Alleud (BEL)",23 APR 2023
18842,1105,11.18,Wout BOECKX,2006,BEL,1,"Sportcentrum Den Uyt, Mol (BEL)",23 APR 2023
18843,1105,11.18,Pushpendra RAWAT,25 NOV 2005,IND,4sf1,"District Sports Complex Collectorate, Tiruvannamalai (IND)",28 APR 2023
18844,1105,11.18,Ioannis GIANNOPOULOS,17 MAR 2005,GRE,2,"Municipal Stadium, Eleftheroupoli (GRE)",04 MAY 2023
18845,1105,11.18,Issa SY,2006,MLI,3f1,"Stade des Maradas, Cergy-Pontoise (FRA)",06 MAY 2023
18846,1105,11.18,Giorgio LOMBARDI,2005,GER,1h1,"Stadion am Hallenbad, Germering (GER)",06 MAY 2023
18847,1105,11.18,Alessandro BEDESCHI,2007,ITA,6f16,"Stadio Primo Nebiolo, Torino (ITA)",06 MAY 2023
18848,1105,11.18,Quinton GORDON,,BAH,3h2,"Grand Bahama Sports Complex, Freeport (BAH)",13 MAY 2023
18849,1135,11.19,Jeremy NTI,2005,AUS,f1,"Landy Field, Geelong (AUS)",27 JAN 2023
18850,1135,11.19,Franco LE ROUX,01 DEC 2005,RSA,6f7,"Bestmed Tuks Stadium, Pretoria (RSA)",01 FEB 2023
18851,1135,11.19,Nikita MIRKIN,18 SEP 2007,ISR,2,"Hadar Yosef Stadium, Tel Aviv (ISR)",13 FEB 2023
18852,1135,11.19,Diego Andrés CERVANTES,2005,MEX,3,"Macrocentro Deportivo León, León (MEX)",24 FEB 2023
18853,1135,11.19,Caleb KILPATRICK,26 MAY 2007,AUS,1h3,"Lakeside Stadium, Melbourne (AUS)",25 FEB 2023
18854,1135,11.19,Angel Eleuterio SEVILLANO,05 OCT 2005,ECU,3,"La Vicentina, Quito (ECU)",04 MAR 2023
18855,1135,11.19,Lore LOSHO,2005,BOT,1f1,"National Stadium, Gaborone (BOT)",04 MAR 2023
18856,1135,11.19,David KAZADI,22 MAR 2006,RSA,1h1,"Germiston Stadium, Johannesburg (RSA)",10 MAR 2023
18857,1135,11.19,Alex THOMPSON,25 JUL 2006,AUS,3,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",11 MAR 2023
18858,1135,11.19,Limpho Brandon MPOPO,13 JAN 2005,RSA,2h3,"Pilditch Stadium, Pretoria (RSA)",11 MAR 2023
18859,1135,11.19,Bruno SILVA,21 DEC 2004,BRA,4h2,"COTP Stadium, São Paulo (BRA)",18 MAR 2023
18860,1135,11.19,Cayden SMITH,,BAH,5f1,"T. Robinson Stadium, Nassau (BAH)",25 MAR 2023
18861,1135,11.19,Sanjay WEEKES,04 JUN 2005,MNT,3h3,Nassau (BAH),08 APR 2023
18862,1135,11.19,Kyohei TSUDA,13 JUN 2004,JPN,5f5,"Hakatanomori Athletic Stadium, Fukuoka (JPN)",09 APR 2023
18863,1135,11.19,Lincoln KROG,,USA,6ce2,"Cougar Athletic Stadium, Azusa, CA (USA)",13 APR 2023
18864,1135,11.19,Jonathan KASIANO,13 JUN 2008,AUS,1h4,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",13 APR 2023
18865,1135,11.19,Emanuele Francesco BELLANOVA,01 OCT 2004,ITA,1ce,"Centro di Atletica, Busto Arsizio (ITA)",22 APR 2023
18866,1135,11.19,Jeremiah OCTOBER,05 MAR 2004,NED,1f4,"Sportcomplex De Leidse Hout, Leiden (NED)",23 APR 2023
18867,1135,11.19,Vito KOVAČIĆ,03 MAY 2005,CRO,2ce,"Sports Park Mladost, Zagreb (CRO)",29 APR 2023
18868,1135,11.19,Justice ORATILE,2006,BOT,4sf1,"Levy Mwanawasa Stadion, Ndola (ZAM)",30 APR 2023
18869,1135,11.19,Angelo PESCE,2004,ITA,3f1,"Stadio Comunale, Bellinzona (SUI)",01 MAY 2023
18870,1135,11.19,Gael DELAUMENIE,2007,FRA,2h2,"Stade Léo Lagrange, St-Pol-sur-Ternoise (FRA)",01 MAY 2023
18871,1135,11.19,Unai YOLDI,07 MAY 2004,ESP,4f1,"Stade Pavillon Bleu-Kechilua, Saint Jean-de-Luz (FRA)",01 MAY 2023
18872,1135,11.19,Ryuse IKEDA,07 MAY 2005,JPN,6sf1,"Athletics Stadium, Toyama (JPN)",03 MAY 2023
18873,1135,11.19,Ho-seok CHOI,29 OCT 2004,KOR,4h6,"Yecheon Stadium, Yecheon (KOR)",05 MAY 2023
18874,1135,11.19,Valentino D'ANDRETA,2006,ITA,5f4,"Stadio Narciso Soldan, Conegliano (ITA)",05 MAY 2023
18875,1135,11.19,Matěj LUTZ,25 MAR 2004,CZE,5f1,"Stadion TJ Lokomotiva Olomouc,, Olomouc (CZE)",06 MAY 2023
18876,1135,11.19,Joas MEJIA,29 JAN 2004,BIZ,6h1,"Estadio Nacional - La Sabana, San José (CRC)",06 MAY 2023
18877,1135,11.19,Hasan BEYAZEL,02 MAR 2004,TUR,1,"Nevin Yanıt Atletizm Pisti, Mersin (TUR)",06 MAY 2023
18878,1135,11.19,Murad BABAZADE,27 APR 2005,AZE,3,"ASAPES Stadium, Baku (AZE)",12 MAY 2023
18879,1135,11.19,Armando BANICIOIU,2008,ROU,2h2,"City ​​Stadium, Ruse (BUL)",13 MAY 2023
18880,1135,11.19,Leonardo AMBIVERI,2006,SUI,1,"Sportanlage Brand, Thalwil (SUI)",13 MAY 2023
18881,1135,11.19,Joel TEMENG,02 MAR 2004,SUI,3,"Sportanlage Sihlhölzli, Zürich (SUI)",13 MAY 2023
18882,1168,11.20,Zane ELDRIDGE,07 NOV 2005,AUS,5f1,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",28 JAN 2023
18883,1168,11.20,Joshua YOUNG,,AUS,5h1,"AIS Athletics Track, Canberra (AUS)",28 JAN 2023
18884,1168,11.20,Jerrel MAIZE,02 MAR 2006,CAY,1,"Truman Bodden Sports Complex, George Town (CAY)",28 JAN 2023
18885,1168,11.20,Loutjie ROOTMAN,03 JAN 2005,RSA,1f2,"Pilditch Stadium, Pretoria (RSA)",04 FEB 2023
18886,1168,11.20,Benjamin BERRY,2006,JAM,1f15,"National Stadium, Kingston (JAM)",11 FEB 2023
18887,1168,11.20,hamza HAFIDI,10 APR 2006,ALG,1f3,"Stade Annexe du 5 Juillet, Algiers (ALG)",11 FEB 2023
18888,1168,11.20,Eddy Ernesto BONE,24 NOV 2006,ECU,2,"La Vicentina, Quito (ECU)",04 MAR 2023
18889,1168,11.20,Robinson Jose QUIÑONEZ,27 APR 2005,ECU,4,"La Vicentina, Quito (ECU)",04 MAR 2023
18890,1168,11.20,Abdrahman ABAKAR,17 APR 2006,QAT,4h4,"Athletics Track, Parow, Cape Town (RSA)",10 MAR 2023
18891,1168,11.20,Liam REARDON,12 APR 2007,AUS,4,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",11 MAR 2023
18892,1168,11.20,Antwone BYGRAVE,2007,JAM,2f10,"GC Foster College, Spanish Town (JAM)",11 MAR 2023
18893,1168,11.20,Jeremy JIMENEZ,24 MAY 2005,PUR,4,"Pista Basilio Rodriguez, Carolina (PUR)",17 MAR 2023
18894,1168,11.20,R.S. PERERA,12 JUL 2004,SRI,3h2,"Mahinda Rajapaksha Stadium, Diyagama (SRI)",21 MAR 2023
18895,1168,11.20,Ewald BOTHA,19 JAN 2005,RSA,7h4,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",23 MAR 2023
18896,1168,11.20,Zain VAN STADEN,15 AUG 2005,RSA,3ce,"McArthur Stadium, Potchefstroom (RSA)",30 MAR 2023
18897,1168,11.20,Chris PALFREEMAN,,USA,7h1,"Mike A. Myers Stadium, Austin, TX (USA)",31 MAR 2023
18898,1168,11.20,Dwight MARTIN,,USA,4h4,"Cobb Track and Angell Field, Stanford, CA (USA)",01 APR 2023
18899,1168,11.20,Benedict RUSSEL,2005,TTO,1h4,"Dwight Yorke Stadium, Port-of-Spain (TTO)",01 APR 2023
18900,1168,11.20,Cole WILSON,,CAN,4ce1,"UMiami Cobb Stadium, Coral Gables, FL (USA)",07 APR 2023
18901,1168,11.20,William ANDERSON,,USA,7h2,"Drake Stadium, Des Moines, IA (USA)",28 APR 2023
18902,1168,11.20,Harsh DIKSHIT,11 AUG 2004,IND,6sf2,"District Sports Complex Collectorate, Tiruvannamalai (IND)",28 APR 2023
18903,1168,11.20,Takudzwa MBOYEKE,2007,ZIM,5sf1,"Levy Mwanawasa Stadion, Ndola (ZAM)",30 APR 2023
18904,1168,11.20,Jan OSIŃSKI,09 NOV 2005,POL,2,"Stadion Iskra, Bialogard (POL)",06 MAY 2023
18905,1168,11.20,Miroslav FUKSA,2005,CZE,6f1,"Stadion TJ Lokomotiva Olomouc,, Olomouc (CZE)",06 MAY 2023
18906,1168,11.20,Louis LORETTE,18 JUL 2006,BEL,4f5,"Stade Communal de Herve, Herve (BEL)",06 MAY 2023
18907,1168,11.20,Cristian MARINI,2005,ITA,3f1,"Stadio Paolo Rosi, Roma (ITA)",06 MAY 2023
18908,1168,11.20,Giuseppe RICCARDI,2004,ITA,5f1,"Campo Scuola Bellavista, Bari (ITA)",06 MAY 2023
18909,1168,11.20,Kendrick OBENG,,GBR,5f5,"Lee Valley Athletics Centre, London (GBR)",07 MAY 2023
18910,1168,11.20,Yuliano ABRÉU,02 JUN 2005,CUB,7h2,"Estadio Panamericano, La Habana (CUB)",12 MAY 2023
18911,1168,11.20,Mihael BARTOLINČIĆ,2007,CRO,4f4,"Sports Park Mladost, Zagreb (CRO)",13 MAY 2023
18912,1198,11.21,Paul MWA,20 JUL 2005,RSA,2f1,"Germiston Stadium, Johannesburg (RSA)",14 JAN 2023
18913,1198,11.21,Ainsley MCGREGOR,2007,JAM,1f18,"National Stadium, Kingston (JAM)",11 FEB 2023
18914,1198,11.21,Tom O'ROURKE,09 MAY 2005,AUS,4f2,"Tom Kelly Athletics Track, Doncaster, Melbourne (AUS)",14 FEB 2023
18915,,,,,,,,
18916,1198,11.21,Yasir MARTÍNEZ,2005,MEX,4,"Macrocentro Deportivo León, León (MEX)",24 FEB 2023
18917,1198,11.21,Kailen KLAAS,27 MAR 2006,AUS,2f4,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",25 FEB 2023
18918,1198,11.21,Kyle BRIGGS,28 MAY 2004,AUS,7,"SA Athletic Stadium, Adelaide (AUS)",04 MAR 2023
18919,1198,11.21,Bokang KHANYE,09 DEC 2005,RSA,7h3,"Germiston Stadium, Johannesburg (RSA)",10 MAR 2023
18920,1198,11.21,Abdelkarim BOUSATLA,,TUN,1,"Stadion Radés, Radés (TUN)",19 MAR 2023
18921,1198,11.21,Luke GOUGH,11 AUG 2005,AUS,1f4,"Tom Kelly Athletics Track, Doncaster, Melbourne (AUS)",23 MAR 2023
18922,1198,11.21,Rorisang MONYANE,16 AUG 2004,RSA,4h2,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",23 MAR 2023
18923,1198,11.21,Aiden KELLY,,BAH,6f1,"T. Robinson Stadium, Nassau (BAH)",25 MAR 2023
18924,1198,11.21,Rajaun GARRICK,,JAM,7sf1,"National Stadium, Kingston (JAM)",29 MAR 2023
18925,1198,11.21,Miguel REGALO,22 NOV 2004,POR,1,"Complexo Desportivo de Lousada, Lousada (POR)",01 APR 2023
18926,1198,11.21,Zhaoyang LIU,21 MAY 2006,CHN,8h2,"Sichuan Xipu Training Base, Chengdu (CHN)",07 APR 2023
18927,1198,11.21,Jeremy DALPHRASE,18 MAR 2004,FRA,4h3,Nassau (BAH),08 APR 2023
18928,1198,11.21,Jiaye ZHOU,04 JUL 2007,CHN,4h2,"Cixi Stadium, Ningbo (CHN)",12 APR 2023
18929,1198,11.21,Miguel Angel MARTE,,DOM,8,"Estadio Olimpico de La Romana, La Romana (DOM)",13 APR 2023
18930,1198,11.21,Jose Antonio HERNANDEZ,2004,MEX,6,"Pista Olimpica Universitaria, Tepic (MEX)",14 APR 2023
18931,1198,11.21,Yandri Ariel CHARCOPA,23 JAN 2005,ECU,5h1,"La Vicentina, Quito (ECU)",22 APR 2023
18932,1198,11.21,Stijn VAN DER VREKEN,27 JUL 2004,BEL,1h2,"Gerard Bontinckstadion, Sint-Niklaas (BEL)",23 APR 2023
18933,1198,11.21,Hussain Moneer Ali ABDULBAQI,16 JAN 2007,KSA,4h4,Tashkent (UZB),27 APR 2023
18934,1198,11.21,Hamad ALMURAIKHI,04 MAR 2006,KUW,8sf2,Tashkent (UZB),28 APR 2023
18935,1198,11.21,. LAVAN,28 AUG 2004,IND,2h4,"District Sports Complex Collectorate, Tiruvannamalai (IND)",28 APR 2023
18936,1198,11.21,Hiroto KOBAYASHI,15 AUG 2005,JPN,8sf1,"Athletics Stadium, Toyama (JPN)",03 MAY 2023
18937,1198,11.21,Nemanja GLIŠIĆ,12 AUG 2005,SRB,2h1,"Military Academy Stadium, Beograd (SRB)",06 MAY 2023
18938,1198,11.21,Lukáš KVAPIL,2004,CZE,2f1,"General Klapálek ́s stadium, Nové Město nad Metují (CZE)",06 MAY 2023
18939,1198,11.21,Matteo Luca CAGLIERO,2004,ITA,4f2,"Campo Comunale della Pace, Legnano (ITA)",06 MAY 2023
18940,1198,11.21,Gabriele TALERICO,2006,ITA,2f2,"Stadio Paolo Rosi, Roma (ITA)",06 MAY 2023
18941,1198,11.21,Taryll THOMPSON,,BAH,4,"Grand Bahama Sports Complex, Freeport (BAH)",13 MAY 2023
18942,1227,11.22,Garon VAN DER MERWE,02 JUN 2005,RSA,5f1,"Germiston Stadium, Johannesburg (RSA)",04 FEB 2023
18943,1227,11.22,Nickecoy BRAMWELL,2008,JAM,3f1,"National Stadium, Kingston (JAM)",11 FEB 2023
18944,1227,11.22,Nathan WADE,14 NOV 2004,JAM,1f4,"National Stadium, Kingston (JAM)",11 FEB 2023
18945,1227,11.22,Zico BENNETT,2004,JAM,1f5,"National Stadium, Kingston (JAM)",11 FEB 2023
18946,1227,11.22,Jake HAYTER,15 JAN 2006,AUS,3h3,"SOPAC, Sydney (AUS)",25 FEB 2023
18947,1227,11.22,Elvin Jordan TIFLIN,28 MAR 2007,RSA,2f4,"Germiston Stadium, Johannesburg (RSA)",25 FEB 2023
18948,1227,11.22,Emilio JIMÉNEZ,2004,MEX,1h2,"Estadio Olímpico de Querétaro, Queretaro (MEX)",25 FEB 2023
18949,1227,11.22,Zion-Great OLANIYAN,22 JUN 2007,AUS,2h1,"Lakeside Stadium, Melbourne (AUS)",25 FEB 2023
18950,1227,11.22,Rasheed HARRIS,2004,JAM,5h4,"GC Foster College, Spanish Town (JAM)",01 MAR 2023
18951,1227,11.22,Joshua LIRA,31 JUL 2006,RSA,1f2,"Pilditch Stadium, Pretoria (RSA)",04 MAR 2023
18952,1227,11.22,Juan Leandro BATISTA,17 MAY 2004,BRA,1,"Pista de Atletismo da CDA, Rio de Janeiro (BRA)",11 MAR 2023
18953,1227,11.22,Victor GOUVEIA,06 JUL 2006,BRA,1h7,"COTP Stadium, São Paulo (BRA)",18 MAR 2023
18954,1227,11.22,Keano CHARLES,2006,JAM,1f9,"National Stadium, Kingston (JAM)",18 MAR 2023
18955,1227,11.22,Chad CAMPHER,29 JUN 2007,RSA,7h4,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",23 MAR 2023
18956,1227,11.22,David AKHALU,21 MAR 2007,NGR,2h6,"Gateway International Stadium, Sagamu (NGR)",25 MAR 2023
18957,1227,11.22,Everette FRASER,,BAH,7f1,"T. Robinson Stadium, Nassau (BAH)",25 MAR 2023
18958,1227,11.22,Devor WYNTER,,JAM,5sf3,"National Stadium, Kingston (JAM)",29 MAR 2023
18959,1227,11.22,Yohei OGATA,22 MAY 2005,JPN,4f6,"National Stadium, Tokyo (JPN)",02 APR 2023
18960,1227,11.22,Marco MOLINA,2004,MEX,1h1,"Centro Deportivo Olímpico Mexicano, Ciudad de México (MEX)",08 APR 2023
18961,1227,11.22,Recordo WILLIAMS,,VIN,1ce2,Nassau (BAH),08 APR 2023
18962,1227,11.22,Alex ARMSTRONG,,GBR,1f1,"Athletic Arena, Yeovil (GBR)",10 APR 2023
18963,1227,11.22,Cade AMBORN,,USA,7ce2,"Cougar Athletic Stadium, Azusa, CA (USA)",13 APR 2023
18964,1227,11.22,Syuta HIYOSHI,19 JUN 2006,JPN,1f4,"Municipal Stadium, Miyazaki (JPN)",15 APR 2023
18965,1227,11.22,Xavier SIMMS,2006,AUS,6h3,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",16 APR 2023
18966,1227,11.22,Zander BAKER,11 JUN 2004,USA,2f1,"John McDonnell Field, Fayetteville, AR (USA)",21 APR 2023
18967,1227,11.22,Yehudhak Kennedy RODRIGUEZ,06 MAR 2005,ECU,2h2,"La Vicentina, Quito (ECU)",22 APR 2023
18968,1227,11.22,Joas VAN HELLEMONDT,28 AUG 2004,NED,2f4,"Sportcomplex De Leidse Hout, Leiden (NED)",23 APR 2023
18969,1227,11.22,Sebastian Dario GODOY,03 JUL 2005,BOL,3f1,"Gobierno Autónomo Municipal de Cochabamba, Cochabamba (BOL)",29 APR 2023
18970,1227,11.22,Trevor David TAUYAH,2006,ZIM,4sf3,"Levy Mwanawasa Stadion, Ndola (ZAM)",30 APR 2023
18971,1227,11.22,Jakub LIBURA,24 APR 2006,POL,3f1,"Stadion Miejski, Chorzów (POL)",03 MAY 2023
18972,1227,11.22,Konstantinos KARAGIANNIDIS,27 DEC 2004,GRE,1f3,"Municipal Sports Center, Alexandria (GRE)",06 MAY 2023
18973,1227,11.22,Matej ZÁLEŽÁK,2007,SVK,1f5,"Stadion TJ Lokomotiva Olomouc,, Olomouc (CZE)",06 MAY 2023
18974,1227,11.22,Matteo TOGNI,14 FEB 2006,ITA,2f1,"Campo Sportivo Putti, Bergamo (ITA)",06 MAY 2023
18975,1227,11.22,Beat ISENI,2005,GER,3f1,"Sportzentrum Schlossfeld, Willisau (SUI)",06 MAY 2023
18976,1227,11.22,Andrea DI BATTISTA,2007,ITA,1f1,"Campo Scuola Bellavista, Bari (ITA)",06 MAY 2023
18977,1227,11.22,Jeremie NZOUNGOU,15 JAN 2006,FRA,2,"Stade Marcel Lemire, Rouen (FRA)",07 MAY 2023
18978,1227,11.22,Justin JUNIEL,08 APR 2004,USA,6h3,"Villanova University, Villanova, PA (USA)",12 MAY 2023
18979,1227,11.22,Miklós Edgár SZIGETI,2006,HUN,3f2,"Vasas Pasaréti Sportcentrum, Budapest (HUN)",13 MAY 2023
18980,1265,11.23,Carlos CARRASCO,2004,MEX,1,"Pista CEDAR Campeche, Campeche (MEX)",13 JAN 2023
18981,1265,11.23,Donte MENDEZ,2007,JAM,1f10,"National Stadium, Kingston (JAM)",11 FEB 2023
18982,1265,11.23,Michael-Lee HILL,02 FEB 2006,JAM,2f13,"National Stadium, Kingston (JAM)",11 FEB 2023
18983,1265,11.23,Oliver KRIJNEN,07 AUG 2004,NZL,2f2,"Porritt Stadium, Hamilton (NZL)",11 FEB 2023
18984,1265,11.23,Wol ALBINO,02 NOV 2008,AUS,1h1,"SOPAC, Sydney (AUS)",25 FEB 2023
18985,1265,11.23,Barnabas RONTO,31 JAN 2006,AUS,2h2,"SOPAC, Sydney (AUS)",25 FEB 2023
18986,1265,11.23,Cesar Diego MENDOZA,2005,MEX,2h4,"Estadio Olímpico de Querétaro, Queretaro (MEX)",25 FEB 2023
18987,1265,11.23,Alex STEWART,23 AUG 2004,AUS,1,"WA Sports Centre, Perth (AUS)",04 MAR 2023
18988,1265,11.23,Thuto NTLOTLANG,2005,AUS,1f2,"WA Sports Centre, Perth (AUS)",10 MAR 2023
18989,1265,11.23,Chegofatso MASETE,04 OCT 2006,RSA,2h1,"Germiston Stadium, Johannesburg (RSA)",10 MAR 2023
18990,1265,11.23,Zaniel ALLEN,2005,JAM,1f4,"GC Foster College, Spanish Town (JAM)",11 MAR 2023
18991,1265,11.23,Caleb OSBORNE,2005,AUS,6h1,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",30 MAR 2023
18992,1265,11.23,Kyle BIELAWSKI,,USA,9,"Cobb Track and Angell Field, Stanford, CA (USA)",01 APR 2023
18993,1265,11.23,Andrew BISHOP,,USA,5h2,"Cobb Track and Angell Field, Stanford, CA (USA)",01 APR 2023
18994,1265,11.23,Fernando LEVER,2006,MEX,2h2,"Centro Deportivo Olímpico Mexicano, Ciudad de México (MEX)",08 APR 2023
18995,1265,11.23,Lavardo DEVEAUX,,BAH,2ce1,Nassau (BAH),08 APR 2023
18996,1265,11.23,Bailey BURNS,15 MAR 2007,AUS,2h3,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",16 APR 2023
18997,1265,11.23,Kevin Rogelio ALCIVAR,15 MAR 2004,ECU,1ce,"La Vicentina, Quito (ECU)",22 APR 2023
18998,1265,11.23,Tibe TEMMERMAN,2005,BEL,2h2,"Gerard Bontinckstadion, Sint-Niklaas (BEL)",23 APR 2023
18999,1265,11.23,Junbo GONG,06 FEB 2006,CHN,7h3,Rizhao (CHN),26 APR 2023
19000,1265,11.23,Sergio Andres RIBERA,10 SEP 2004,BOL,4f1,"Gobierno Autónomo Municipal de Cochabamba, Cochabamba (BOL)",29 APR 2023
19001,1265,11.23,Lionel BRÜGGER,15 JUN 2006,SUI,1f3,"Leichtathletikanlage Röhrliberg, Cham (SUI)",29 APR 2023
19002,1265,11.23,Artur KIROVICH,14 DEC 2005,KAZ,3,"Central Stadium, Almaty (KAZ)",02 MAY 2023
19003,1265,11.23,Michael MARGARYAN,2004,AUT,3h1,"LAZ Wien, Wien (AUT)",03 MAY 2023
19004,1265,11.23,Zacri SOBERS,06 MAR 2006,VIN,2h4,"Sir Vincent Beache National Stadium, Kingstown (VIN)",06 MAY 2023
19005,1265,11.23,Stefano NEBULONI,2005,ITA,2f3,"Campo Comunale della Pace, Legnano (ITA)",06 MAY 2023
19006,1265,11.23,Giacomo BESANA,2005,ITA,3f3,"Campo Comunale della Pace, Legnano (ITA)",06 MAY 2023
19007,1265,11.23,Arthur LE DIVENAH,2004,FRA,1,"Parc des Sports, Haguenau (FRA)",07 MAY 2023
19008,1265,11.23,Piotr FRĄCZYK,17 JUL 2007,POL,1f1,"Arena Lekkoatletyczna, Gliwice (POL)",07 MAY 2023
